"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (EDT)"
"*07106*",1,1,1,"F/C","Cameron Boozer","Duke","jmiano","Mar 18, 2026 1:01:36"
"*070lf*",1,2,2,"G","Brayden Burries","Ariz","Dignazio","Mar 18, 2026 1:01:46"
"*06v6p*",1,3,3,"G","Darius Acuff","Ark","Jnacey2","Mar 18, 2026 1:02:36"
"*06dsj*",1,4,4,"F/C","Yaxel Lendeborg","Mich","Haron","Mar 18, 2026 1:02:44"
"*06n4n*",1,5,5,"G","Isaiah Evans","Duke","michaelfer","Mar 18, 2026 1:04:48"
"*06ga0*",1,6,6,"F/C","Thomas Haugh","Fla","benkunk","Mar 18, 2026 1:05:18"
"*06ga8*",1,7,7,"F/C","Alex Condon","Fla","sniels100","Mar 18, 2026 1:05:26"
"*065bl*",1,8,8,"F/C","Joshua Jefferson","IaSt","DAvart","Mar 18, 2026 1:05:53"
"*06ynr*",1,9,9,"G","Keaton Wagler","Ill","Mcriqui","Mar 18, 2026 1:07:24"
"*064fx*",1,10,10,"G","Braden Smith","Pur","Dgross21","Mar 18, 2026 1:07:26"
"*070nj*",1,11,11,"G","Kingston Flemings","Hou","DamatoN","Mar 18, 2026 1:08:13"
"*064j1*",1,12,12,"G","Jaden Bradley","Ariz","AJA2026","Mar 18, 2026 1:11:27"
"*06dvi*",1,13,13,"G","Milan Momcilovic","IaSt","Bradfrey","Mar 18, 2026 1:11:40"
"*05wt9*",2,1,14,"F/C","Trey Kaufman-Renn","Pur","Bradfrey","Mar 18, 2026 1:12:23"
"*070le*",2,2,15,"F/C","Koa Peat","Ariz","AJA2026","Mar 18, 2026 1:13:13"
"*064q2*",2,3,16,"G","Emanuel Sharp","Hou","DamatoN","Mar 18, 2026 1:13:28"
"*05pn0*",2,4,17,"F/C","Graham Ike","Gonz","Dgross21","Mar 18, 2026 1:17:38"
"*06g33*",2,5,18,"F/C","Aday Mara","Mich","Mcriqui","Mar 18, 2026 1:17:59"
"*06msi*",2,6,19,"F/C","Morez Johnson","Mich","DAvart","Mar 18, 2026 1:18:40"
"*0666t*",2,7,20,"G","Xaivian Lee","Fla","sniels100","Mar 18, 2026 1:19:01"
"*05pn0*",2,8,21,"F/C","Graham Ike","Gonz","benkunk","Mar 18, 2026 1:20:01"
"*06n46*",2,9,22,"G","Tyler Tanner","Vand","michaelfer","Mar 18, 2026 1:20:44"
"*06g6r*",2,10,23,"G","Elliot Cadeau","Mich","Haron","Mar 18, 2026 1:20:57"
"*06mzw*",2,11,24,"G","Labaron Philon","Bama","Jnacey2","Mar 18, 2026 1:21:01"
"*06hcd*",2,12,25,"G","Jeremy Fears","MSU","Dignazio","Mar 18, 2026 1:21:28"
"*064fv*",2,13,26,"G","Fletcher Loyer","Pur","jmiano","Mar 18, 2026 1:21:44"
"*06n01*",3,1,27,"G","Boogie Fland","Fla","jmiano","Mar 18, 2026 1:22:03"
"*070ld*",3,2,28,"F/C","Ivan Kharchenkov","Ariz","Dignazio","Mar 18, 2026 1:22:35"
"*06ynp*",3,3,29,"F/C","David Mirkovic","Ill","Jnacey2","Mar 18, 2026 1:22:58"
"*07107*",3,4,30,"G","Cayden Boozer","Duke","Haron","Mar 18, 2026 1:23:08"
"*05q1z*",3,5,31,"G","Nicholas Boyd","Wisc","michaelfer","Mar 18, 2026 1:24:03"
"*064k2*",3,6,32,"G","Tamin Lipsey","IaSt","benkunk","Mar 18, 2026 1:25:03"
"*06g0r*",3,7,33,"F/C","Motiejus Krivas","Ariz","sniels100","Mar 18, 2026 1:25:48"
"*06g7r*",3,8,34,"F/C","Pryce Sandfort","Nebras","DAvart","Mar 18, 2026 1:26:25"
"*06g9s*",3,9,35,"G","John Blackwell","Wisc","Mcriqui","Mar 18, 2026 1:26:34"
"*05yf7*",3,10,36,"F/C","Alex Karaban","UConn","Dgross21","Mar 18, 2026 1:26:36"
"*064f2*",3,11,37,"F/C","Tarris Reed","UConn","DamatoN","Mar 18, 2026 1:26:53"
"*070nq*",3,12,38,"G","Darryn Peterson","Kan","AJA2026","Mar 18, 2026 1:27:54"
"*071z0*",3,13,39,"F/C","AJ Dybantsa","BYU","Bradfrey","Mar 18, 2026 1:28:19"
"*064kh*",4,1,40,"F/C","Zuby Ejiofor","StJon","Bradfrey","Mar 18, 2026 1:28:55"
"*custom-mcglockton*",4,2,41,"G","Devin McGlockton","Vand","AJA2026","Mar 18, 2026 1:29:49"
"*06g62*",4,3,42,"G","Andrej Stojakovic","Ill","DamatoN","Mar 18, 2026 1:30:21"
"*06q9f*",4,4,43,"G","Bennett Stirtz","Iowa","Dgross21","Mar 18, 2026 1:30:23"
"*071n6*",4,5,44,"F/C","Thijs De Ridder","UVA","Mcriqui","Mar 18, 2026 1:30:46"
"*06v6i*",4,6,45,"G","Meleek Thomas","Ark","DAvart","Mar 18, 2026 1:31:32"
"*065kz*",4,7,46,"G","Anthony Dell'Orso","Ariz","sniels100","Mar 18, 2026 1:31:41"
"*06g54*",4,8,47,"F/C","Rueben Chinyelu","Fla","benkunk","Mar 18, 2026 1:32:37"
"*06n5h*",4,9,48,"F/C","Patrick Ngongba","Duke","michaelfer","Mar 18, 2026 1:33:11"
"*064h5*",4,10,49,"G","Kylan Boswell","Ill","Haron","Mar 18, 2026 1:33:31"
"*06yrf*",4,11,50,"F/C","Nate Ament","Tenn","Jnacey2","Mar 18, 2026 1:33:47"
"*custom-kurteng*",4,12,51,"F/C","Kur Teng","MSU","Dignazio","Mar 18, 2026 1:34:48"
"*064gl*",4,13,52,"G","Ja'Kobi Gillespie","Tenn","jmiano","Mar 18, 2026 1:35:48"
"*06ynd*",5,1,53,"G","Trey McKenney","Mich","jmiano","Mar 18, 2026 1:35:50"
"*064pq*",5,2,54,"G","Ryan Conwell","Lou","Dignazio","Mar 18, 2026 1:35:53"
"*05wjb*",5,3,55,"F/C","Trevon Brazile","Ark","Jnacey2","Mar 18, 2026 1:36:11"
"*064kp*",5,4,56,"G","Milos Uzan","Hou","Haron","Mar 18, 2026 1:36:19"
"*06g1b*",5,5,57,"G","Solomon Ball","UConn","michaelfer","Mar 18, 2026 1:37:19"
"*06g58*",5,6,58,"F/C","Oscar Cluff","Pur","benkunk","Mar 18, 2026 1:37:35"
"*064je*",5,7,59,"F/C","Tobe Awaka","Ariz","sniels100","Mar 18, 2026 1:37:46"
"*070oo*",5,8,60,"G","Braylon Mullins","UConn","DAvart","Mar 18, 2026 1:38:36"
"*05wiw*",5,9,61,"G","Bryce Hopkins","StJon","Mcriqui","Mar 18, 2026 1:38:43"
"*065cg*",5,10,62,"G","Donovan Dent","UCLA","Dgross21","Mar 18, 2026 1:38:45"
"*06dv9*",5,11,63,"F/C","Joseph Tugler","Hou","DamatoN","Mar 18, 2026 1:39:09"
"*05q3o*",5,12,64,"G","Duke Miles","Vand","AJA2026","Mar 18, 2026 1:39:19"
"*06mu9*",5,13,65,"G","Christian Anderson","TxTch","Bradfrey","Mar 18, 2026 1:39:28"
"*05pbw*",6,1,66,"G","Latrell Wrightsell","Bama","Bradfrey","Mar 18, 2026 1:42:56"
"*064yp*",6,2,67,"G","Tyler Nickel","Vand","AJA2026","Mar 18, 2026 1:43:43"
"*05wx7*",6,3,68,"G","Boopie Miller","SMU","DamatoN","Mar 18, 2026 1:43:58"
"*064ko*",6,4,69,"G","Otega Oweh","KY","Dgross21","Mar 18, 2026 1:44:00"
"*06g9r*",6,5,70,"F/C","Nolan Winter","Wisc","Mcriqui","Mar 18, 2026 1:44:31"
"*06qcy*",6,6,71,"G","Urban Klavzar","Fla","DAvart","Mar 18, 2026 1:44:37"
"*05wou*",6,7,72,"G","Malik Thomas","UVA","sniels100","Mar 18, 2026 1:45:03"
"*05p4w*",6,8,73,"G","Tyon Grant-Foster","Gonz","benkunk","Mar 18, 2026 1:45:50"
"*064fn*",6,9,74,"G","Bruce Thornton","OhSt","michaelfer","Mar 18, 2026 1:46:50"
"*05pj0*",6,10,75,"G","Nimari Burnett","Mich","Haron","Mar 18, 2026 1:47:03"
"*06n03*",6,11,76,"F/C","Billy Richmond","Ark","Jnacey2","Mar 18, 2026 1:47:11"
"*064f5*",6,12,77,"F/C","Jaxon Kohler","MSU","Dignazio","Mar 18, 2026 1:47:16"
"*064ih*",6,13,78,"F/C","Tyler Bilodeau","UCLA","jmiano","Mar 18, 2026 1:47:18"
"*05p9y*",7,1,79,"G","Jaron Pierre","SMU","jmiano","Mar 18, 2026 1:47:20"
"*06mse*",7,2,80,"F/C","Tomislav Ivisic","Ill","Dignazio","Mar 18, 2026 1:48:21"
"*06h4n*",7,3,81,"G","Nasir Whitlock","Leh","Jnacey2","Mar 18, 2026 1:48:38"
"*070nm*",7,4,82,"F/C","Chris Cenac","Hou","Haron","Mar 18, 2026 1:48:46"
"*06g0o*",7,5,83,"F/C","Paulius Murauskas","StMar","michaelfer","Mar 18, 2026 1:49:30"
"*06gaj*",7,6,84,"G","Silas Demary","UConn","benkunk","Mar 18, 2026 1:50:31"
"*06hcf*",7,7,85,"F/C","Coen Carr","MSU","sniels100","Mar 18, 2026 1:50:36"
"*059rv*",7,8,86,"F/C","Rienk Mast","Nebras","DAvart","Mar 18, 2026 1:51:19"
"*064ds*",7,9,87,"F/C","Malik Reneau","Mia-FL","Mcriqui","Mar 18, 2026 1:51:46"
"*06msj*",7,10,88,"F/C","Jayden Quaintance","KY","Dgross21","Mar 18, 2026 1:51:48"
"*06msw*",7,11,89,"G","Robert Wright","BYU","DamatoN","Mar 18, 2026 1:52:05"
"*064vh*",7,12,90,"G","Tre White","Kan","AJA2026","Mar 18, 2026 1:52:52"
"*064f6*",7,13,91,"F/C","Carson Cooper","MSU","Bradfrey","Mar 18, 2026 1:53:07"
"*custom-tramonmark*",8,1,92,"G","Tramon Mark","Tex","Bradfrey","Mar 18, 2026 1:54:07"
"*06mts*",8,2,93,"F/C","Flory Bidunga","Kan","AJA2026","Mar 18, 2026 1:54:28"
"*06gmk*",8,3,94,"G","Melvin Council","Kan","DamatoN","Mar 18, 2026 1:54:57"
"*064ht*",8,4,95,"F/C","Robbie Avila","StLou","Dgross21","Mar 18, 2026 1:54:59"
"*070ms*",8,5,96,"G","Wes Enis","SoFL","Mcriqui","Mar 18, 2026 1:55:15"
"*06duu*",8,6,97,"F/C","Blake Buchanan","IaSt","DAvart","Mar 18, 2026 1:55:25"
"*06gad*",8,7,98,"G","Sam Lewis","UVA","sniels100","Mar 18, 2026 1:55:57"
"*07108*",8,8,99,"G","Dame Sarr","Duke","benkunk","Mar 18, 2026 1:56:04"
"*06gra*",8,9,100,"G","Dontae Horne","PVAM","michaelfer","Mar 18, 2026 1:57:05"
"*064j4*",8,10,101,"G","Tre Donaldson","Mia-FL","Haron","Mar 18, 2026 1:57:17"
"*06vye*",8,11,102,"F/C","Amari Allen","Bama","Jnacey2","Mar 18, 2026 1:57:24"
"*0655r*",8,12,103,"G","Tavari Johnson","Akr","Dignazio","Mar 18, 2026 1:57:30"
"*06mxo*",8,13,104,"G","C.J. Cox","Pur","jmiano","Mar 18, 2026 1:58:30"
"*06mzx*",9,1,105,"F/C","Aiden Sherrell","Bama","jmiano","Mar 18, 2026 1:58:32"
"*06nfa*",9,2,106,"G","Mikey Lewis","StMar","Dignazio","Mar 18, 2026 1:58:57"
"*064zd*",9,3,107,"G","Michael Collins","UtSt","Jnacey2","Mar 18, 2026 1:59:19"
"*06mtu*",9,4,108,"F/C","Braden Frager","Nebras","Haron","Mar 18, 2026 1:59:34"
"*06gmg*",9,5,109,"G","Christian Hammond","SCla","michaelfer","Mar 18, 2026 2:00:21"
"*07105*",9,6,110,"G","Nikolas Khamenia","Duke","benkunk","Mar 18, 2026 2:01:10"
"*064h4*",9,7,111,"F/C","Henri Veesaar","UNC","sniels100","Mar 18, 2026 2:01:18"
"*072c9*",9,8,112,"G","Davis Fogle","Gonz","DAvart","Mar 18, 2026 2:02:04"
"*06glj*",9,9,113,"G","Dailyn Swain","Tex","Mcriqui","Mar 18, 2026 2:03:04"
"*06n02*",9,10,114,"F/C","Karter Knox","Ark","Dgross21","Mar 18, 2026 2:03:06"
"*064fk*",9,11,115,"G","Roddy Gayle","Mich","DamatoN","Mar 18, 2026 2:03:27"
"*066nx*",9,12,116,"F/C","AK Okereke","Vand","AJA2026","Mar 18, 2026 2:04:26"
"*06h58*",9,13,117,"F/C","Alvaro Folgueiras","Iowa","Bradfrey","Mar 18, 2026 2:05:27"
"*06pt5*",10,1,118,"G","Ian Jackson","StJon","Bradfrey","Mar 18, 2026 2:05:29"
"*06n4u*",10,2,119,"G","Jeremiah Wilkinson","UGA","AJA2026","Mar 18, 2026 2:06:22"
"*06g1q*",10,3,120,"F/C","Jayden Ross","UConn","DamatoN","Mar 18, 2026 2:06:39"
"*065cy*",10,4,121,"G","Mason Falslev","UtSt","Dgross21","Mar 18, 2026 2:06:41"
"*064jf*",10,5,122,"G","B.J. Edwards","SMU","Mcriqui","Mar 18, 2026 2:06:56"
"*072cc*",10,6,123,"G","Mario Saint-Supery","Gonz","DAvart","Mar 18, 2026 2:07:01"
"*06562*",10,7,124,"G","Donovan Atwell","TxTch","sniels100","Mar 18, 2026 2:07:32"
"*05pyg*",10,8,125,"G","J'Vonne Hadley","Lou","benkunk","Mar 18, 2026 2:08:33"
"*06py3*",10,9,126,"F/C","Elijah Mahi","SCla","michaelfer","Mar 18, 2026 2:09:33"
"*05wpr*",10,10,127,"G","Sam Hoiberg","Nebras","Haron","Mar 18, 2026 2:10:17"
"*06gcv*",10,11,128,"F/C","J.P. Estrella","Tenn","Jnacey2","Mar 18, 2026 2:10:25"
"*06n74*",10,12,129,"G","Terrence Hill","VCU","Dignazio","Mar 18, 2026 2:10:33"
"*06n0p*",10,13,130,"G","Isaiah Brown","Fla","jmiano","Mar 18, 2026 2:11:03"
